NOMBRE PROVINCIA,TOTAL POBLACIÓN EFECTIVAMENTE CENSADA,POTENCIAL SOLAR kWhr/m2,POTENCIAL EÓLICO m/s,POTENCIAL HIDROELÉCTRICO m3/s,SUPERFICIE km2,CENTROIDE_LAT,CENTROIDE_LON,REGION
ANTOFAGASTA,398843,7.28,4.44,0.0,67682.2,-69.4,-24.24,ANTOFAGASTA
ANTÁRTICA CHILENA,2201,2.74,0.0,0.0,15644.56,-69.27,-55.17,MAGALLANES
ARAUCO,166087,4.6,6.59,2.15,5492.13,-73.47,-37.82,BIOBÍO
ARICA,222619,7.07,3.22,0.0,8438.54,-69.72,-18.65,ARICA Y PARINACOTA
AYSÉN,32319,3.31,0.0,0.33,45179.82,-73.81,-45.35,AYSÉN
BIOBÍO,39506,4.74,6.17,18.41,15055.88,-72.03,-37.61,BIOBÍO
CACHAPOAL,646133,5.45,3.01,1.28,7501.5,-70.79,-34.28,O'HIGGINS
CAPITÁN PRAT,4638,2.53,0.0,15.19,36256.92,-73.74,-48.07,AYSÉN
CARDENAL CARO,45866,5.47,4.57,0.61,3291.67,-71.75,-34.37,O'HIGGINS
CAUQUENES,5694,5.03,4.21,0.02,3023.27,-72.38,-35.9,MAULE
CAUTÍN,7521,4.09,5.63,9.1,18381.82,-72.45,-38.98,ARAUCANÍA
CHACABUCO,267553,5.93,3.08,0.0,2072.55,-70.7,-33.15,METROPOLITANA
CHAÑARAL,26144,7.2,4.61,0.0,24882.92,-69.54,-26.11,ATACAMA
CHILOÉ,168185,3.52,6.14,0.64,9290.28,-73.95,-42.72,LOS LAGOS
CHOAPA,9067,6.26,1.6,0.0,10137.58,-70.93,-31.71,COQUIMBO
COLCHAGUA,222556,5.26,4.32,1.95,5552.04,-71.05,-34.68,O'HIGGINS
CONCEPCIÓN,995658,4.81,4.59,0.09,3476.98,-73.05,-36.95,BIOBÍO
COPIAPÓ,185618,7.23,7.43,0.0,32577.44,-69.7,-27.64,ATACAMA
CORDILLERA,612816,6.14,7.03,3.08,5515.21,-70.21,-33.67,METROPOLITANA
COYHAIQUE,5867,3.09,0.0,0.71,12623.45,-72.01,-45.03,AYSÉN
CURICÓ,28888,4.66,4.12,4.92,7289.67,-71.27,-35.16,MAULE
EL LOA,177048,7.61,6.48,0.0,41952.31,-68.1,-22.63,ANTOFAGASTA
ELQUI,496337,6.63,3.03,0.0,17133.31,-70.74,-29.77,COQUIMBO
GENERAL CARRERA,7531,3.76,0.0,0.26,11766.15,-72.53,-46.51,AYSÉN
HUASCO,74406,6.77,3.42,0.0,18191.67,-70.61,-28.75,ATACAMA
IQUIQUE,299843,7.12,2.75,0.0,2987.8,-70.02,-20.74,TARAPACÁ
ISLA DE PASCUA,775,0.0,0.0,0.0,245.82,-109.48,-27.1,VALPARAÍSO
LIMARÍ,170579,6.41,2.03,0.0,13362.78,-70.95,-30.82,COQUIMBO
LINARES,286361,5.24,2.67,2.4,10082.41,-71.38,-35.98,MAULE
LLANQUIHUE,408052,3.62,6.51,0.71,14828.05,-72.83,-41.49,LOS LAGOS
LOS ANDES,110602,6.1,3.1,0.68,3074.53,-70.37,-32.81,VALPARAÍSO
MAGALLANES,133282,2.71,0.0,0.0,36874.03,-71.58,-53.24,MAGALLANES
MAIPO,496078,5.67,2.68,0.0,1121.74,-70.73,-33.76,METROPOLITANA
MALLECO,205124,4.33,6.44,8.6,13452.15,-72.08,-38.25,ARAUCANÍA
MARGA MARGA,341893,5.83,2.87,0.0,1157.96,-71.24,-33.08,VALPARAÍSO
MELIPILLA,185966,5.55,3.77,0.72,4068.59,-71.25,-33.69,METROPOLITANA
OSORNO,234122,3.59,6.03,2.98,9278.59,-72.89,-40.68,LOS LAGOS
PALENA,18349,4.07,5.31,8.83,15034.34,-72.34,-42.89,LOS LAGOS
PARINACOTA,3449,7.23,4.71,0.0,8191.01,-69.38,-18.26,ARICA Y PARINACOTA
PETORCA,78299,6.02,1.26,0.0,4596.37,-70.98,-32.35,VALPARAÍSO
QUILLOTA,203277,5.89,2.79,0.0,1113.69,-71.23,-32.79,VALPARAÍSO
RANCO,93969,3.72,6.65,8.02,9080.86,-72.69,-40.29,LOS RÍOS
SAN ANTONIO,168046,5.09,3.37,0.0,1517.5,-71.59,-33.6,VALPARAÍSO
SANTIAGO,5250565,5.84,2.11,0.16,2030.65,-70.57,-33.36,METROPOLITANA
TALAGANTE,29983,5.74,3.11,0.0,580.55,-70.95,-33.66,METROPOLITANA
TALCA,412769,4.45,5.16,4.09,9928.88,-71.47,-35.57,MAULE
TIERRA DEL FUEGO,8364,3.18,0.0,0.0,21795.14,-69.86,-53.6,MAGALLANES
TOCOPILLA,31643,7.15,5.05,0.0,16385.5,-69.58,-22.08,ANTOFAGASTA
VALDIVIA,290868,3.9,4.94,16.26,9168.29,-72.65,-39.7,LOS RÍOS
VALPARAÍSO,751317,0.0,0.0,0.0,106.61,-79.8,-33.71,VALPARAÍSO
ÚLTIMA ESPERANZA,22686,0.0,0.0,0.0,56617.06,-73.68,-50.71,MAGALLANES
