REGION,TIPO,MW,MM USD,USD/W
ANTOFAGASTA,Solar,163,125,0.766871165644172
ANTOFAGASTA,Solar,126.2,94.4,0.748019017432647
BIOBÍO,Eólica,57.4,80,1.39372822299652
O'HIGGINS,Solar,9,20,2.22222222222222
COQUIMBO,Solar,9,12,1.33333333333333
ÑUBLE,Solar,9,10.7,1.18888888888889
COQUIMBO,Solar,9,18,2
METROPOLITANA,Solar,9,10.2,1.13333333333333
METROPOLITANA,Solar,9,10.2,1.13333333333333
ATACAMA,Solar,9,13.5,1.5
MAULE,Solar,9,12,1.33333333333333
ANTOFAGASTA,Solar,9,11.5,1.27777777777778
O'HIGGINS,Solar,9,11.5,1.27777777777778
VALPARAÍSO,Solar,6.3,10.5,1.66666666666667
O'HIGGINS,Solar,6,7.5,1.25
VALPARAÍSO,Solar,6,7.5,1.25
MAULE,Solar,3,4,1.33333333333333
METROPOLITANA,Solar,3,4,1.33333333333333
MAULE,Solar,3,3,1
VALPARAÍSO,Solar,3,3.5,1.16666666666667
MAULE,Solar,3,3,1
MAULE,Solar,3,2.7,0.9
METROPOLITANA,Solar,3,3,1
MAULE,Solar,3,3,1
METROPOLITANA,Solar,2.9,3,1.03448275862069
O'HIGGINS,Solar,2.7,3.5,1.2962962962963
ÑUBLE,Solar,2.6,3,1.15384615384615
BIOBÍO,Hidro,2.6,10,3.84615384615385
BIOBÍO,Solar,2.6,3.5,1.34615384615385
O'HIGGINS,Solar,2.6,3,1.15384615384615
AYSÉN,Hidro,1,1.8,1.8
LOS LAGOS,Hidro,0.3,3,10
O'HIGGINS,Solar,8,12,1.5
BIOBÍO,Eólica,81.7,170,2.08078335373317
BIOBÍO,Eólica,60,73,1.21666666666667
ARAUCANÍA,Eólica,85.5,102,1.19298245614035
ARAUCANÍA,Eólica,58.5,74,1.26495726495727
COQUIMBO,Solar,9,12,1.33333333333333
COQUIMBO,Solar,9,12,1.33333333333333
COQUIMBO,Solar,9,12,1.33333333333333
O'HIGGINS,Solar,9,10.7,1.18888888888889
AYSÉN,Hidro,3,12,4
VALPARAÍSO,Solar,3,3,1
O'HIGGINS,Hidro,2.9,9,3.10344827586207
METROPOLITANA,Solar,2.8,3.5,1.25
ANTOFAGASTA,Solar,180,245,1.36111111111111
ANTOFAGASTA,Solar,100,138,1.38
ATACAMA,Solar,199,137,0.688442211055276
ATACAMA,Solar,199,137,0.688442211055276
COQUIMBO,Solar,18,38,2.11111111111111
COQUIMBO,Solar,9,12,1.33333333333333
ATACAMA,Solar,9,12,1.33333333333333
COQUIMBO,Solar,9,12,1.33333333333333
COQUIMBO,Solar,9,12,1.33333333333333
ÑUBLE,Solar,9,13.7,1.52222222222222
MAULE,Solar,2.5,3,1.2
ATACAMA,Solar,105,138,1.31428571428571
ANTOFAGASTA,Solar,18,12.7,0.705555555555556
METROPOLITANA,Solar,9,9.6,1.06666666666667
O'HIGGINS,Solar,9,12,1.33333333333333
MAULE,Solar,9,12,1.33333333333333
LOS LAGOS,Eólica,2.9,6.3,2.17241379310345
ANTOFAGASTA,Eólica,156.1,245,1.5695067264574
LOS LAGOS,Eólica,152.4,255,1.67322834645669
ANTOFAGASTA,Eólica,107.2,176,1.64179104477612
ANTOFAGASTA,Solar,192,135,0.703125
ANTOFAGASTA,Solar,375,253,0.674666666666667
VALPARAÍSO,Solar,156.2,165,1.05633802816901
ANTOFAGASTA,Solar,87.9,61,0.693970420932878
METROPOLITANA,Solar,9,10,1.11111111111111
O'HIGGINS,Hidro,9,4.5,0.5
O'HIGGINS,Solar,2.9,3,1.03448275862069
METROPOLITANA,Solar,9,10.2,1.13333333333333
ANTOFAGASTA,Solar,270,307,1.13703703703704
O'HIGGINS,Eólica,48.3,67,1.3871635610766
O'HIGGINS,Eólica,30,66,2.2
O'HIGGINS,Eólica,24.2,47.1,1.94628099173554
LOS RÍOS,Eólica,206,316,1.53398058252427
ANTOFAGASTA,Solar,390,213,0.546153846153846
MAULE,Hidro,150,900,6
ÑUBLE,Hidro,136,504,3.70588235294118
ANTOFAGASTA,Eólica,778,850,1.09254498714653
