REGION,TIPO,MW,MM USD,USD/W,REGION_INDEX
ARICA Y PARINACOTA,Eólica,347.09999999999997,423.6666666666667,1.4346142527933499,1
ARICA Y PARINACOTA,Solar,347.09999999999997,423.6666666666667,1.4346142527933499,1
ARICA Y PARINACOTA,Hidro,347.09999999999997,423.6666666666667,1.4346142527933499,1
TARAPACÁ,Eólica,347.09999999999997,423.6666666666667,1.4346142527933499,2
TARAPACÁ,Solar,347.09999999999997,423.6666666666667,1.4346142527933499,2
TARAPACÁ,Hidro,347.09999999999997,423.6666666666667,1.4346142527933499,2
ANTOFAGASTA,Hidro,347.09999999999997,423.6666666666667,1.4346142527933499,3
ANTOFAGASTA,Eólica,347.09999999999997,423.6666666666667,1.4346142527933499,3
ANTOFAGASTA,Solar,173.73636363636362,145.05454545454543,0.9085715998465177,3
ATACAMA,Eólica,150.55757575757576,125.86969696969696,0.9740146312129846,4
ATACAMA,Hidro,127.37878787878788,106.68484848484849,1.0394576625794516,4
ATACAMA,Solar,104.2,87.5,1.1049006939459185,4
COQUIMBO,Eólica,72.8,63.51851851851852,1.234542849461887,5
COQUIMBO,Hidro,41.4,39.53703703703704,1.3641850049778559,5
COQUIMBO,Solar,10.0,15.555555555555555,1.4938271604938245,5
VALPARAÍSO,Solar,34.9,37.9,1.22793427230047,6
VALPARAÍSO,Eólica,29.18,31.735555555555553,1.2089161705010825,6
VALPARAÍSO,Hidro,23.46,25.571111111111108,1.189898068701695,6
METROPOLITANA,Eólica,17.74,19.406666666666666,1.1708799669023073,7
METROPOLITANA,Hidro,12.02,13.242222222222221,1.1518618651029198,7
METROPOLITANA,Solar,6.300000000000001,7.0777777777777775,1.1328437633035322,7
O'HIGGINS,Eólica,34.166666666666664,60.03333333333333,1.8444815176040468,8
O'HIGGINS,Hidro,5.95,6.75,1.801724137931035,8
O'HIGGINS,Solar,6.466666666666667,9.244444444444445,1.3618719367761511,8
MAULE,Eólica,5.452083333333333,7.290972222222223,1.249685968388075,9
MAULE,Solar,4.4375,5.3375,1.1374999999999988,9
MAULE,Hidro,150.0,900.0,6.0,9
ÑUBLE,Hidro,136.0,504.0,3.70588235294118,10
ÑUBLE,Solar,6.866666666666667,9.133333333333333,1.2883190883190867,10
ÑUBLE,Eólica,4.733333333333333,6.316666666666666,1.3172364672364685,10
BIOBÍO,Solar,2.6,3.5,1.34615384615385,11
BIOBÍO,Eólica,66.36666666666667,107.66666666666667,1.5637260811321199,11
BIOBÍO,Hidro,2.6,10.0,3.84615384615385,11
ARAUCANÍA,Hidro,37.300000000000004,49.0,2.5375618533513298,12
ARAUCANÍA,Eólica,72.0,88.0,1.22896986054881,12
ARAUCANÍA,Solar,139.0,202.0,1.38147522153654,12
LOS RÍOS,Eólica,206.0,316.0,1.53398058252427,13
LOS RÍOS,Solar,173.9125,269.6625,1.63119070433822,13
LOS RÍOS,Hidro,141.825,223.325,1.72840082615217,13
LOS LAGOS,Solar,109.73750000000001,176.9875,1.82561094796612,14
LOS LAGOS,Eólica,77.65,130.65,1.92282106978007,14
LOS LAGOS,Hidro,0.3,3.0,10.0,14
AYSÉN,Hidro,2.0,6.9,2.9,15
AYSÉN,Solar,2.0,6.9,2.9,15
AYSÉN,Eólica,2.0,6.9,2.9,15
MAGALLANES,Solar,2.0,6.9,2.9,16
MAGALLANES,Hidro,2.0,6.9,2.9,16
MAGALLANES,Eólica,2.0,6.9,2.9,16
