NOMBRE PROVINCIA,TOTAL POBLACIÓN EFECTIVAMENTE CENSADA
ANTOFAGASTA,398843
ANTÁRTICA CHILENA,2201
ARAUCO,166087
ARICA,222619
AYSÉN,32319
BIOBÍO,39506
CACHAPOAL,646133
CAPITÁN PRAT,4638
CARDENAL CARO,45866
CAUQUENES,5694
CAUTÍN,7521
CHACABUCO,267553
CHAÑARAL,26144
CHILOÉ,168185
CHOAPA,9067
COLCHAGUA,222556
CONCEPCIÓN,995658
COPIAPÓ,185618
CORDILLERA,612816
COYHAIQUE,5867
CURICÓ,28888
DEL TAMARUGAL,30715
DIGUILLÍN,319809
EL LOA,177048
ELQUI,496337
GENERAL CARRERA,7531
HUASCO,74406
IQUIQUE,299843
ISLA DE PASCUA,775
ITATA,53832
LIMARÍ,170579
LINARES,286361
LLANQUIHUE,408052
LOS ANDES,110602
MAGALLANES,133282
MAIPO,496078
MALLECO,205124
MARGA MARGA,341893
MELIPILLA,185966
OSORNO,234122
PALENA,18349
PARINACOTA,3449
PETORCA,78299
PUNILLA,106968
QUILLOTA,203277
RANCO,93969
SAN ANTONIO,168046
SAN FELIPE DE ACONCAGUA,154718
SANTIAGO,5250565
TALAGANTE,29983
TALCA,412769
TIERRA DEL FUEGO,8364
TOCOPILLA,31643
VALDIVIA,290868
VALPARAÍSO,751317
ÚLTIMA ESPERANZA,22686
